Player,Team,Salary
Stephen Curry,GSW,34682550.0
LeBron James,CLE,33285709.0
Paul Millsap,DEN,31269231.0
Gordon Hayward,BOS,29727900.0
Blake Griffin,DET,29512900.0
Kyle Lowry,TOR,28703704.0
Russell Westbrook,OKC,28530608.0
Mike Conley,MEM,28530608.0
James Harden,HOU,28299399.0
DeMar DeRozan,TOR,27739975.0
Al Horford,BOS,27734405.0
Carmelo Anthony,OKC,26243760.0
Damian Lillard,POR,26153057.0
Jrue Holiday,NOP,25686667.0
Chris Bosh,MIA,25289390.0
Kevin Durant,GSW,25000000.0
Otto Porter,WAS,24773250.0
Chris Paul,HOU,24599495.0
C.J. McCollum,POR,23962573.0
Bradley Beal,WAS,23775506.0
Anthony Davis,NOP,23775506.0
Andre Drummond,DET,23775506.0
Hassan Whiteside,MIA,23775506.0
Dwight Howard,CHO,23500000.0
Chandler Parsons,MEM,23112004.0
Harrison Barnes,DAL,23112004.0
J.J. Redick,PHI,23000000.0
Marc Gasol,MEM,22642350.0
Kevin Love,CLE,22642350.0
Brook Lopez,LAL,22642350.0
DeAndre Jordan,LAC,22642350.0
Steven Adams,OKC,22471910.0
Giannis Antetokounmpo,MIL,22471910.0
Nicolas Batum,CHO,22434783.0
Rudy Gobert,UTA,21974719.0
LaMarcus Aldridge,SAS,21461010.0
Victor Oladipo,IND,21000000.0
Enes Kanter,NYK,20566802.0
Danilo Gallinari,LAC,20559599.0
Serge Ibaka,TOR,20061729.0
George Hill,CLE,20000000.0
Ryan Anderson,HOU,19578455.0
Paul George,OKC,19508958.0
Allen Crabbe,BRK,19332500.0
Jimmy Butler,MIN,19301070.0
Jeff Teague,MIN,19000000.0
Kawhi Leonard,SAS,18868625.0
Kyrie Irving,BOS,18868625.0
John Wall,WAS,18063850.0
DeMarcus Cousins,NOP,18063850.0
Greg Monroe,PHO,17884176.0
Wesley Matthews,DAL,17884176.0
Klay Thompson,GSW,17826150.0
Joakim Noah,NYK,17765000.0
Kentavious Caldwell-Pope,LAL,17745894.0
Luol Deng,LAL,17190000.0
Evan Turner,POR,17131148.0
Goran Dragic,MIA,17000450.0
Evan Fournier,ORL,17000000.0
Bismack Biyombo,ORL,17000000.0
Kent Bazemore,ATL,16910113.0
Robert Covington,PHI,16698103.0
Ian Mahinmi,WAS,16661641.0
Tim Hardaway,NYK,16500000.0
Draymond Green,GSW,16400000.0
Tristan Thompson,CLE,16400000.0
Reggie Jackson,DET,16000000.0
Pau Gasol,SAS,16000000.0
Tobias Harris,LAC,16000000.0
Dwyane Wade,CHI,15550000.0
Dennis Schroder,ATL,15500000.0
Jonas Valanciunas,TOR,15460675.0
Tony Parker,SAS,15453126.0
Timofey Mozgov,BRK,15280000.0
Andre Iguodala,GSW,14814815.0
DeMarre Carroll,BRK,14800000.0
Thaddeus Young,IND,14796348.0
Eric Bledsoe,MIL,14500000.0
Ricky Rubio,UTA,14275000.0
Joe Ingles,UTA,14136364.0
Gorgui Dieng,MIN,14112360.0
Khris Middleton,MIL,14100000.0
Mason Plumlee,DEN,14041096.0
Taj Gibson,MIN,14000000.0
James Johnson,MIA,13954000.0
Robin Lopez,CHI,13788500.0
J.R. Smith,CLE,13760000.0
Brandon Knight,PHO,13618750.0
Marvin Williams,CHO,13168750.0
Tyson Chandler,PHO,13000000.0
Michael Kidd-Gilchrist,CHO,13000000.0
Eric Gordon,HOU,12943020.0
Kenneth Faried,DEN,12921348.0
Marcin Gortat,WAS,12782609.0
Cody Zeller,CHO,12584270.0
Miles Plumlee,ATL,12500000.0
Nikola Mirotic,NOP,12500000.0
Zach Randolph,SAC,12307692.0
Nikola Vucevic,ORL,12250000.0
Solomon Hill,NOP,12236535.0
Wilson Chandler,DEN,12016854.0
Jeremy Lin,BRK,12000000.0
Kemba Walker,CHO,12000000.0
Derrick Favors,UTA,12000000.0
Austin Rivers,LAC,11825000.0
Courtney Lee,NYK,11747890.0
Nikola Pekovic,MIN,11600000.0
Jordan Clarkson,CLE,11562500.0
John Henson,MIL,11422536.0
Dion Waiters,MIA,11000000.0
Amir Johnson,PHI,11000000.0
Jamal Crawford,ATL,10942762.0
Alec Burks,UTA,10845506.0
Patty Mills,SAS,10714286.0
Kelly Olynyk,MIA,10607169.0
Omer Asik,CHI,10595505.0
Terrence Ross,ORL,10500000.0
Mirza Teletovic,MIL,10500000.0
Bojan Bogdanovic,IND,10500000.0
Jon Leuer,DET,10497319.0
Iman Shumpert,SAC,10337079.0
Maurice Harkless,POR,10162922.0
Jared Dudley,PHO,10000000.0
Darren Collison,IND,10000000.0
Danny Green,SAS,10000000.0
Meyers Leonard,POR,9904495.0
Tony Snell,MIL,9821429.0
Al Jefferson,IND,9769821.0
Matthew Dellavedova,MIL,9607500.0
Joe Johnson,SAC,9505000.0
Bogdan Bogdanovic,SAC,9470614.0
Andre Roberson,OKC,9259259.0
Trevor Booker,PHI,9125000.0
Dwight Powell,DAL,9003125.0
Jerryd Bayless,PHI,9000000.0
Avery Bradley,LAC,8808989.0
JaMychal Green,MEM,8533333.0
E'Twaun Moore,NOP,8445024.0
Rudy Gay,SAS,8406000.0
Kosta Koufos,SAC,8393000.0
Markieff Morris,WAS,8000000.0
Garrett Temple,SAC,8000000.0
Vince Carter,SAC,8000000.0
C.J. Miles,TOR,7936509.0
Cristiano Felicio,CHI,7843500.0
Shaun Livingston,GSW,7692308.0
Cory Joseph,IND,7630000.0
P.J. Tucker,HOU,7590035.0
Corey Brewer,LAL,7579366.0
Andrew Wiggins,MIN,7574322.0
Darrell Arthur,DEN,7464912.0
Channing Frye,LAL,7420912.0
Trevor Ariza,HOU,7420912.0
Al-Farouq Aminu,POR,7319035.0
Cole Aldrich,MIN,7300000.0
D.J. Augustin,ORL,7250000.0
Markelle Fultz,PHI,7026240.0
Lou Williams,LAC,7000000.0
Kyle Korver,CLE,7000000.0
Jeremy Lamb,CHO,7000000.0
Boban Marjanovic,LAC,7000000.0
Jae Crowder,UTA,6796117.0
Jabari Parker,MIL,6782392.0
Langston Galloway,DET,6666667.0
Lance Thomas,NYK,6655325.0
Ed Davis,POR,6352531.0
Marco Belinelli,ATL,6306060.0
Jonathon Simmons,ORL,6300000.0
Lonzo Ball,LAL,6286560.0
Wayne Ellington,MIA,6270000.0
Isaiah Thomas,LAL,6261395.0
Karl-Anthony Towns,MIN,6216840.0
Ben Simmons,PHI,6168840.0
Joel Embiid,PHI,6100266.0
Spencer Hawes,MIL,6021175.0
Josh McRoberts,DAL,6021175.0
Ish Smith,DET,6000000.0
Alan Williams,PHO,6000000.0
Shelvin Mack,ORL,6000000.0
Milos Teodosic,LAC,6000000.0
Ersan Ilyasova,ATL,6000000.0
Dewayne Dedmon,ATL,6000000.0
Tyler Johnson,MIA,5881260.0
Wesley Johnson,LAC,5881260.0
Alex Abrines,OKC,5725000.0
Jayson Tatum,BOS,5645400.0
D'Angelo Russell,BRK,5562360.0
Brandon Ingram,LAL,5519400.0
Patrick Beverley,LAC,5513514.0
Aaron Gordon,ORL,5504420.0
Deron Williams,BRK,5500000.0
Josh Smith,DET,5400000.0
Thabo Sefolosha,UTA,5250000.0
Jason Smith,WAS,5225000.0
Ben McLemore,MEM,5200000.0
Patrick Patterson,OKC,5192000.0
Nick Young,GSW,5192000.0
Brandan Wright,MEM,5179760.0
Josh Jackson,PHO,5090040.0
Marcus Morris,BOS,5000000.0
Dirk Nowitzki,DAL,5000000.0
Greg Monroe,BOS,5000000.0
Mike Muscala,ATL,5000000.0
Jahlil Okafor,BRK,4995120.0
Dante Exum,UTA,4992385.0
Alexis Ajinca,NOP,4961798.0
Jaylen Brown,BOS,4956480.0
Jameer Nelson,DEN,4736050.0
Kyle Singler,OKC,4666500.0
Justin Holiday,CHI,4615385.0
De'Aaron Fox,SAC,4609200.0
Marcus Smart,BOS,4538020.0
Kristaps Porzingis,NYK,4503600.0
Dragan Bender,PHO,4468800.0
Devin Harris,DEN,4402546.0
Ron Baker,NYK,4328000.0
Jamal Crawford,MIN,4328000.0
Aron Baynes,BOS,4328000.0
Alex Len,PHO,4187599.0
Nerlens Noel,DAL,4187599.0
Jonathan Isaac,ORL,4186320.0
Lance Stephenson,IND,4180000.0
Julius Randle,LAL,4149242.0
Kyle O'Quinn,NYK,4087500.0
Mario Hezonja,ORL,4078320.0
Kris Dunn,CHI,4046760.0
Jonas Jerebko,UTA,4000000.0
Nemanja Bjelica,MIN,3949999.0
J.J. Barea,DAL,3903900.0
Quincy Pondexter,CHI,3853931.0
Lauri Markkanen,CHI,3821640.0
Nik Stauskas,BRK,3807146.0
Willie Cauley-Stein,SAC,3704160.0
Buddy Hield,SAC,3675480.0
Will Barton,DEN,3533333.0
Noah Vonleh,CHI,3505233.0
Frank Ntilikina,NYK,3501120.0
Nene Hilario,HOU,3477600.0
Zaza Pachulia,GSW,3477600.0
Troy Daniels,PHO,3408520.0
Emmanuel Mudiay,NYK,3381480.0
Jamal Murray,DEN,3355320.0
Elfrid Payton,PHO,3332340.0
Rajon Rondo,NOP,3300000.0
Doug McDermott,DAL,3294994.0
Jodie Meeks,WAS,3290000.0
Tyreke Evans,MEM,3290000.0
Tarik Black,HOU,3290000.0
Anthony Tolliver,DET,3290000.0
Dennis Smith,DAL,3218280.0
Zach LaVine,CHI,3202217.0
Ekpe Udoh,UTA,3200000.0
T.J. Warren,PHO,3152931.0
Stanley Johnson,DET,3097800.0
Marquese Chriss,PHO,3073800.0
Zach Collins,POR,3057240.0
James Ennis,DET,3028410.0
Seth Curry,DAL,3028410.0
Mindaugas Kuzminskas,NYK,3025035.0
Tomas Satoransky,WAS,3000000.0
Rajon Rondo,CHI,3000000.0
Lucas Nogueira,TOR,2947305.0
Jusuf Nurkic,POR,2947305.0
Malik Monk,CHO,2904480.0
Frank Kaminsky,CHO,2847600.0
Andrew Nicholson,POR,2844429.0
Jakob Poeltl,TOR,2825640.0
Luke Kennard,DET,2759280.0
Justise Winslow,MIA,2705040.0
Michael Carter-Williams,CHO,2700000.0
Thon Maker,MIL,2684160.0
Cedi Osman,CLE,2642857.0
Donovan Mitchell,UTA,2621280.0
Myles Turner,IND,2569920.0
Gary Harris,DEN,2550055.0
Domantas Sabonis,IND,2550000.0
Manu Ginobili,SAS,2500000.0
Reggie Bullock,DET,2500000.0
Richard Jefferson,ATL,2500000.0
Malcolm Delaney,ATL,2500000.0
Bam Adebayo,MIA,2490360.0
Bruno Caboclo,SAC,2451225.0
Ronnie Price,OKC,2442455.0
Trey Lyles,DEN,2441400.0
Dario Saric,PHI,2422560.0
Taurean Waller-Prince,ATL,2422560.0
Rodney Hood,CLE,2386864.0
Justin Jackson,SAC,2365560.0
Shabazz Napier,POR,2361360.0
Clint Capela,HOU,2334520.0
Arron Afflalo,ORL,2328652.0
Raymond Felton,OKC,2328652.0
Nick Collison,OKC,2328652.0
Ramon Sessions,NYK,2328652.0
Jarrett Jack,NYK,2328652.0
Jason Terry,MIL,2328652.0
Udonis Haslem,MIA,2328652.0
Dwyane Wade,MIA,2328652.0
David West,GSW,2328652.0
Richard Jefferson,DEN,2328652.0
Jose Calderon,CLE,2328652.0
Andrew Bogut,LAL,2328652.0
Devin Booker,PHO,2319360.0
Georgios Papagiannis,SAC,2301360.0
Dante Cunningham,BRK,2300000.0
Jameer Nelson,DET,2262871.0
Justin Patton,MIN,2247480.0
Guerschon Yabusele,BOS,2247480.0
Monta Ellis,IND,2245400.0
Cameron Payne,CHI,2203440.0
Denzel Valentine,CHI,2186400.0
Josh Smith,NOP,2183934.0
Kyle Anderson,SAS,2151704.0
D.J. Wilson,MIL,2135040.0
Matt Barnes,SAC,2133542.0
Derrick Rose,UTA,2116955.0
Marreese Speights,ORL,2116955.0
Michael Beasley,NYK,2116955.0
Aaron Brooks,MIN,2116955.0
Luc Mbah a Moute,HOU,2116955.0
JaVale McGee,GSW,2116955.0
Jeff Green,CLE,2116955.0
Tony Allen,CHI,2116955.0
Damien Wilkins,IND,2116955.0
Omri Casspi,GSW,2106470.0
Mario Chalmers,MEM,2106407.0
Darius Miller,NOP,2100000.0
Kelly Oubre,WAS,2093040.0
Juan Hernangomez,DEN,2076840.0
T.J. Leaf,IND,2028360.0
Tim Frazier,WAS,2000000.0
Anthony Tolliver,SAC,2000000.0
Terry Rozier,BOS,1988520.0
Luke Babbitt,MIA,1974159.0
John Collins,ATL,1936920.0
Anderson Varejao,POR,1913345.0
Rashad Vaughn,NOP,1889040.0
Tim Duncan,SAS,1881250.0
Wade Baldwin,MEM,1874400.0
Larry Sanders,MIL,1865547.0
Harry Giles,SAC,1859400.0
Sam Dekker,LAC,1794600.0
Terrance Ferguson,OKC,1785000.0
Henry Ellenson,DET,1780800.0
Eric Moreland,DET,1739333.0
Jerian Grant,CHI,1713840.0
Jarrett Allen,BRK,1713720.0
Mike Scott,WAS,1709538.0
Tyler Zeller,MIL,1709538.0
Quincy Acy,BRK,1709538.0
Malik Beasley,DEN,1700640.0
Mike Dunleavy,ATL,1662500.0
Delon Wright,TOR,1645200.0
OG Anunoby,TOR,1645200.0
Ante Zizic,CLE,1645200.0
Caris LeVert,BRK,1632480.0
Justin Anderson,PHI,1579440.0
Tyler Lydon,DEN,1579440.0
Jeff Withey,DAL,1577320.0
Ian Clark,NOP,1577230.0
Shabazz Muhammad,MIN,1577230.0
Willie Reed,CHI,1577230.0
DeAndre Liggins,MIL,1577230.0
DeAndre' Bembry,ATL,1567200.0
Joffrey Lauvergne,SAS,1524305.0
Jerami Grant,OKC,1524305.0
Johnny O'Bryant,NYK,1524305.0
Tyler Ennis,LAL,1524305.0
Julyan Stone,CHO,1524305.0
Sean Kilpatrick,BRK,1524305.0
Joe Harris,BRK,1524305.0
Spencer Dinwiddie,BRK,1524305.0
Shane Larkin,BOS,1524305.0
Glenn Robinson,IND,1524305.0
Bobby Brown,HOU,1524305.0
Bobby Portis,CHI,1516320.0
Malachi Richardson,TOR,1504560.0
Arron Afflalo,SAC,1500000.0
Norman Powell,TOR,1471382.0
Josh Richardson,MIA,1471382.0
Rondae Hollis-Jefferson,BRK,1471382.0
Tyus Jones,MIN,1471382.0
Jarell Martin,MEM,1471382.0
Larry Nance,CLE,1471382.0
Troy Williams,HOU,1471382.0
Chris McCullough,WAS,1471382.0
Raul Neto,UTA,1471382.0
Pat Connaughton,POR,1471382.0
Richaun Holmes,PHI,1471382.0
T.J. McConnell,PHI,1471382.0
Josh Huestis,OKC,1471382.0
Jordan Mickey,MIA,1471382.0
Montrezl Harrell,LAC,1471382.0
Joe Young,IND,1471382.0
Kevon Looney,GSW,1471382.0
Nikola Jokic,DEN,1471382.0
Salah Mejri,DAL,1471382.0
Caleb Swanigan,POR,1465920.0
Furkan Korkmaz,PHI,1465920.0
Willy Hernangomez,CHO,1435750.0
Kyle Kuzma,LAL,1423560.0
Tony Bradley,UTA,1414920.0
Derrick White,SAS,1404600.0
Josh Hart,LAL,1394520.0
Timothe Luwawu-Cabarrot,PHI,1386600.0
Kevin Martin,MIN,1360305.0
Brice Johnson,MEM,1331160.0
Pascal Siakam,TOR,1312611.0
Dejounte Murray,SAS,1312611.0
Skal Labissiere,SAC,1312611.0
A.J. Hammons,MIA,1312611.0
Deyonta Davis,MEM,1312611.0
Chinanu Onuaku,HOU,1312611.0
Damian Jones,GSW,1312611.0
Wayne Selden,MEM,1312611.0
Cheick Diallo,NOP,1312611.0
Joel Bolomboy,UTA,1312611.0
Davis Bertans,SAS,1312611.0
Bryn Forbes,SAS,1312611.0
Jake Layman,POR,1312611.0
Tyler Ulis,PHO,1312611.0
Marcus Georges-Hunt,MIN,1312611.0
Malcolm Brogdon,MIL,1312611.0
Rodney McGruder,MIA,1312611.0
Andrew Harrison,MEM,1312611.0
Ivica Zubac,LAL,1312611.0
Patrick McCaw,GSW,1312611.0
Dorian Finney-Smith,DAL,1312611.0
Yogi Ferrell,DAL,1312611.0
Treveon Graham,CHO,1312611.0
David Nwaba,CHI,1312611.0
Paul Zipser,CHI,1312611.0
Isaiah Whitehead,BRK,1312611.0
Sheldon Mac,ATL,1312611.0
Okaro White,ATL,1312611.0
Nicolas Brussino,ATL,1312611.0
Diamond Stone,ATL,1312611.0
Isaiah Taylor,ATL,1312611.0
Kay Felder,CHI,1312611.0
Fred VanVleet,TOR,1312611.0
Derrick Jones,PHO,1312611.0
Chasson Randle,NYK,1312611.0
Stephen Zimmerman,LAL,1312611.0
Semi Ojeleye,BOS,1291892.0
Frank Mason,SAC,1184385.0
Abdel Nader,BOS,1167333.0
Damyean Dotson,NYK,1100000.0
Paul Pierce,LAC,1096080.0
Isaiah Canaan,PHO,1069308.0
Wesley Iwundu,ORL,1050000.0
Livio Jean-Charles,SAS,1035200.0
Justin Hamilton,TOR,1000000.0
Gerald Henderson,PHI,1000000.0
Rade Zagorac,MEM,950000.0
Ivan Rabb,MEM,950000.0
Ike Anigbogu,IND,950000.0
Gerald Green,HOU,947248.0
Jason Thompson,GSW,945126.0
Martell Webster,WAS,830000.0
Frank Jackson,NOP,815615.0
Jordan Bell,GSW,815615.0
Dakari Johnson,OKC,815615.0
Sterling Brown,MIL,815615.0
Dillon Brooks,MEM,815615.0
Jawun Evans,LAC,815615.0
Sindarius Thornwell,LAC,815615.0
Dwayne Bacon,CHO,815615.0
Tyler Dorsey,ATL,815615.0
Davon Reed,PHO,815615.0
Royce O'Neale,UTA,815615.0
Alfonzo McKinnie,TOR,815615.0
Brandon Paul,SAS,815615.0
Khem Birch,ORL,815615.0
Thomas Bryant,LAL,815615.0
Zhou Qi,HOU,815615.0
Maxi Kleber,DAL,815615.0
Daniel Theis,BOS,815615.0
Sean Kilpatrick,MIL,789725.0
Trey Burke,NYK,784160.0
Alex Poythress,IND,778668.0
Marco Belinelli,PHI,776217.0
Joe Johnson,HOU,749905.0
Dwight Buycks,DET,748160.0
Tyler Cavanaugh,ATL,679919.0
Carlos Delfino,LAC,650000.0
Caron Butler,SAC,517220.0
Jordan Farmar,LAC,510921.0
Ersan Ilyasova,PHI,502328.0
Leandro Barbosa,PHO,500000.0
Tibor Pleiss,PHI,500000.0
Michael Gbinije,DET,500000.0
Aaron Gray,DET,452059.0
Festus Ezeli,POR,333334.0
C.J. Watson,ORL,333334.0
Gal Mekel,DAL,315760.0
Miroslav Raduljica,LAC,300000.0
Cameron Oliver,HOU,300000.0
Ramon Sessions,WAS,263124.0
Jordan Crawford,NOP,250000.0
Emeka Okafor,NOP,239204.0
Wade Baldwin,POR,222476.0
Isaiah Canaan,CHI,200000.0
Rakeem Christmas,IND,172552.0
DeAndre Liggins,NOP,172238.0
Sean Kilpatrick,LAC,172238.0
Rashad Vaughn,ORL,166258.0
Troy Williams,NYK,148318.0
Travis Wear,LAL,148318.0
Carrick Felix,WAS,140902.0
Brandon Rush,POR,119602.0
Brandon Jennings,MIL,119010.0
Derrick Williams,LAL,104059.0
K.J. McDaniels,TOR,100000.0
Marshall Plumlee,NYK,100000.0
Georges Niang,IND,100000.0
Quinn Cook,ATL,100000.0
Demetrius Jackson,BOS,92858.0
Kyle Collinsworth,DAL,92160.0
Josh Gray,PHO,92160.0
Naz Mitrou-Long,UTA,92160.0
Shaquille Harrison,PHO,92160.0
"Walt Lemon, Jr.",NOP,92160.0
Antonius Cleveland,ATL,92160.0
Jaylen Morris,ATL,92160.0
Mike James,PHO,87552.0
Jarell Eddie,BOS,83129.0
Jarell Eddie,CHI,83129.0
Briante Weber,MEM,83129.0
Demetrius Jackson,HOU,74159.0
Georgios Papagiannis,POR,74159.0
Larry Drew,NOP,74159.0
Scotty Hopson,DAL,74159.0
Isaiah Canaan,HOU,53465.0
Tyler Cavanaugh,ATL,50000.0
Kyle Collinsworth,DAL,50000.0
Demetrius Jackson,HOU,50000.0
Daniel Ochefu,WAS,50000.0
Michael Young,WAS,50000.0
Nate Wolters,UTA,50000.0
Naz Mitrou-Long,UTA,50000.0
Eric Griffin,UTA,50000.0
Jacob Pullen,PHI,50000.0
James Michael McAdoo,PHI,50000.0
Nigel Hayes,NYK,50000.0
Jalen Moore,MIL,50000.0
Gary Payton,MIL,50000.0
Matt Williams,MIA,50000.0
Vince Hunter,MEM,50000.0
Vander Blue,LAL,50000.0
V.J. Beachem,LAL,50000.0
Briante Weber,LAL,50000.0
Jamil Wilson,LAC,50000.0
Briante Weber,HOU,50000.0
Luis Montero,DET,50000.0
Gian Clavell,DAL,50000.0
Antonius Cleveland,DAL,50000.0
Diamond Stone,CHI,50000.0
Yakuba Ouattara,BRK,50000.0
Jeremy Evans,ATL,50000.0
Nigel Hayes,LAL,46080.0
Nigel Hayes,TOR,46080.0
Rodney Purvis,ORL,46080.0
Xavier Rathan-Mayes,MEM,46080.0
Trey McKinney-Jones,IND,46080.0
Jameel Warney,DAL,46080.0
Marcus Thornton,CLE,46080.0
DeAndre Liggins,ATL,26773.0
Axel Toupane,NOP,25000.0
Quinn Cook,NOP,25000.0
Chris Johnson,HOU,25000.0
Beno Udrih,DET,25000.0
Joel Bolomboy,MIL,22248.0
Jarell Eddie,CHI,17224.0
